,text,label,preprocessed_text
471,The bus boy on the other hand was so rude.,negative,bus boy hand be rude
550,Why are these sad little vegetables so overcooked?,negative,be sad little vegetable overcook
2304,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",positive,deal include five tasting two drink jeff go beyond expect
2343,Damn good steak.,positive,damn good steak
2236,The desserts were a bit strange.,negative,dessert be bit strange
2609,"None of it works, just don't buy it.",negative,none of work do not buy it
964,We'd definitely go back here again.,positive,would definitely go back again
1962,Duris has a wholesome appearance and gives a fine performance.  ,positive,duris have wholesome appearance give fine performance
910,Seriously killer hot chai latte.,positive,seriously killer hot chai latte
866,"There was a few pathetic attempts to give the characters some depth, but it didn't really work into the rest of the plot.  ",negative,be few pathetic attempt give character depth do not really work rest of plot
1184,The last 3 times I had lunch here has been bad.,negative,last three time have lunch have be bad
2286,It is practically useless and did not add any kind of boost to my reception after I bought it.,negative,be practically useless do not add any kind of boost reception buy it
2045,"The chicken dishes are OK, the beef is like shoe leather.",negative,chicken dish be ok beef be like shoe leather
796,So absolutley fantastic.,positive,absolutley fantastic
2104,They refuse to refund or replace.,negative,refuse refund replace
2484,You can find better movies at youtube.  ,negative,can find good movie youtube
2633,"Our waiter was very attentive, friendly, and informative.",positive,waiter be very attentive friendly informative
167,It was probably dirt.,negative,be probably dirt
793,I would have given no star if I was able.,negative,would have give no star be able
2560,It defeats the purpose of a bluetooth headset.,negative,defeat purpose of bluetooth headset
2277,I have yet to run this new battery below two bars and that's three days without charging.,positive,have yet run new battery two bar be three day without charge
2299,Excellent wallet type phone case.,positive,excellent wallet type phone case
2525,"Everyone is very attentive, providing excellent customer service.",positive,everyone be very attentive providing excellent customer service
393,It has northern humour and positive about the community it represents.  ,positive,have northern humour positive community represent
358,My rating: just 3 out of 10.  ,negative,rating three out of ten
1258,As always the evening was wonderful and the food delicious!,positive,always evening be wonderful food delicious
1,!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,negative,the owner really really need quit be soooooo cheap let wrap freak sandwich two paper not one
2037,"Also, it's a real treat to see Anthony Quinn playing Crazy Horse.  ",positive,also be real treat see anthony quinn play crazy horse
2591,Really good product.,positive,really good product
1125,"When a song could explain the emotions of the subjects better, such as when Jay Adams' unfortunate life was a subject of talk, the song Old Man by Neil Young was played, which evokes many emotions.  ",positive,song could explain emotion of subject well jay adam unfortunate life be subject of talk song old man neil young be play evokes many emotion
1608,Works good.,positive,work good
2119,Food is way overpriced and portions are fucking small.,negative,food be way overpriced portion be fuck small
1691,"Funny, clever, hip - just like Pray's previous film, Hype!  ",positive,funny clever hip like pray s previous film hype
1791,"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",negative,despite hard rate business actually rare give one star
798,And none of the tones is acceptable.,negative,none of tone be acceptable
1605,"All in all, I'm quite satisfied with this purchase.",positive,all be quite satisfied purchase
327,The jerky camera movements were also annoying.  ,negative,jerky camera movement be also annoy
1648,Don't make the same mistake I did.,negative,do not make mistake do
